steps,frequency_index,recurrence_modulus_minus_one,direct_modulus_minus_one,recurrence_phase_error_rad,direct_phase_error_rad,pi_constant_phase_bias_rad,double_cpu_pi_modulus_minus_one,double_cpu_pi_phase_error_rad,double_full_pi_modulus_minus_one,double_full_pi_phase_error_rad
48128,199108,0.0013021974201439246,-2.3578220598174937e-08,-0.0004249290257492413,-6.976492614325463e-09,-0.00014695774913686568,-7.6216810640517e-13,-0.00014695774683838283,-1.7824630660356888e-12,-1.193233354152359e-10
48640,199620,0.0013162916974565064,1.2584719932817734e-08,-0.0004284016752977458,9.901027336565338e-10,-0.00014733564639643373,-7.700506898800086e-13,-0.00014733564407428215,-1.801225835151854e-12,-1.1953223889242594e-10
49152,200132,0.0013311059714233853,8.63015259255917e-09,-0.0004315644959841843,1.5028783006473358e-09,-0.00014771354365600178,-7.773781618425346e-13,-0.0001477135413083315,-1.8198775819655566e-12,-1.197428497037805e-10
49664,200644,0.0013446232023417437,5.269817249242692e-09,-0.0004353123954241017,1.3403405326153037e-10,-0.00014809144091556983,-7.857048345272233e-13,-0.00014809143854290519,-1.838307284174334e-12,-1.1995188376805218e-10
50176,201156,0.0013572962922718812,-1.236553270889118e-08,-0.00043794055609372884,-1.4484804976657783e-08,-0.00014846933817513788,-7.939204849094494e-13,-0.00014846933577675176,-1.8554047187535616e-12,-1.2016114684490366e-10
50688,201668,0.001371358891573582,-1.4550423199644058e-08,-0.0004411990582398637,-7.417208946491628e-09,-0.00014884723543470593,-8.01136934569513e-13,-0.00014884723300981646,-1.8749446439869644e-12,-1.2037077607933528e-10
51200,202180,0.001384761667630352,-4.3009862338294624e-09,-0.00044475481997374375,3.703430749129972e-08,-0.00014922513269427398,-8.08686451136964e-13,-0.00014922513024445122,-1.8925971900785044e-12,-1.2058114510311245e-10
51712,202692,0.0014000078003635341,3.2586765286168884e-08,-0.00044855048963035507,-5.482168697763549e-09,-0.00014960302995384203,-8.171241461241152e-13,-0.0001496030274793027,-1.9109158699848194e-12,-1.2079081270445465e-10
52224,203204,0.001412784934658795,-2.554842193358553e-08,-0.0004516240872683712,8.025744794860098e-09,-0.00014998092721341008,-8.264500195309665e-13,-0.00014998092471337588,-1.929123527588672e-12,-1.2100273678534815e-10
52736,203716,0.0014256886386574408,-2.0067856487671065e-08,-0.0004548343173622892,-1.300927851754323e-08,-0.00015035882447297813,-8.328893130737924e-13,-0.00015035882194721744,-1.946998118285137e-12,-1.2121224665596653e-10
53248,204228,0.0014386776766794895,1.0895762958540445e-08,-0.0004586761915277032,-8.606548856067455e-10,-0.00015073672173254618,-8.40105762733856e-13,-0.0001507367191800607,-1.966760088123465e-12,-1.2142246135959213e-10
53760,204740,0.0014538994247832449,-2.5678759008052054e-08,-0.00046187238233190236,-1.086470310090616e-08,-0.00015111461899211423,-8.47433234696382e-13,-0.00015111461641211814,-1.985744901844555e-12,-1.2163010809105977e-10
54272,205252,0.0014677021662983236,1.1712609548908404e-08,-0.00046439402986069294,-6.520253635577645e-09,-0.00015149251625168228,-8.564260411958458e-13,-0.00015149251364682782,-2.0030643810287074e-12,-1.2183617080079488e-10
54784,205764,0.0014801811116806896,1.7429247156641736e-08,-0.00046730122251958847,-1.0658667139745417e-08,-0.00015187041351125033,-8.630873793435967e-13,-0.00015187041088047347,-2.02171612784241e-12,-1.220472058540482e-10
55296,206276,0.0014923701163174208,2.8777286331660434e-08,-0.0004707787838691321,-2.1399536033054113e-10,-0.00015224831077081838,-8.710809851208978e-13,-0.00015224830811497772,-2.0404788969585752e-12,-1.22257695357212e-10
55808,206788,0.001505737164772869,2.6486227877597912e-08,-0.0004739738315474459,1.5082638586240814e-08,-0.00015262620803038643,-8.79296635503124e-13,-0.0001526262053485234,-2.0601298444944405e-12,-1.224670338395469e-10
56320,207300,0.001518767061605697,2.959978773198202e-08,-0.0004761637622679655,5.702050782455849e-11,-0.00015300410528995448,-8.872902412804251e-13,-0.00015300410258418864,-2.078781591308143e-12,-1.226755152262496e-10
56832,207812,0.0015329856994321656,1.4043028073729147e-08,-0.00047836902189532797,-3.0349664163897225e-08,-0.00015338200254952253,-8.956169139651138e-13,-0.00015338199981793717,-2.0965451597021456e-12,-1.2288456372476927e-10
57344,208324,0.0015463329982046137,-1.020249207339674e-08,-0.0004822557303590185,-6.6872058426996935e-09,-0.00015375989980909058,-9.019451852054772e-13,-0.0001537598970508248,-2.1160850849355484e-12,-1.230935035909553e-10
57856,208836,0.0015597438596146596,-1.2347509348309416e-08,-0.0004852959934457349,1.7054802500503506e-08,-0.00015413779706865863,-9.11826170124641e-13,-0.00015413779428463797,-2.133404564119701e-12,-1.2330432996828733e-10
58368,209348,0.0015732287022016678,2.8254113715320273e-08,-0.0004889485036371214,6.850813501565652e-09,-0.00015451569432822668,-9.194867089945546e-13,-0.00015451569151925487,-2.153277556260491e-12,-1.2351197200227552e-10
58880,209860,0.00158677973861443,-5.580755413348015e-09,-0.0004931218121718668,-1.4087409114105197e-10,-0.00015489359158779472,-9.275913370743183e-13,-0.00015489358875391557,-2.1721513476791188e-12,-1.237205335767725e-10
59392,210372,0.0016006152813294872,-1.1337686456336371e-08,-0.0004963268091857844,8.121925450293474e-09,-0.00015527148884736277,-9.358069874565444e-13,-0.00015527148598944767,-2.1903590052829713e-12,-1.239302111919666e-10
59904,210884,0.0016128665120165309,-1.601483123891967e-08,-0.0004996725988056979,6.3560609830683155e-09,-0.00015564938610693082,-9.418021917895203e-13,-0.0001556493832238713,-2.2088997297942115e-12,-1.2413888595239326e-10
60416,211396,0.0016256209877318906,-3.201610054848203e-08,-0.0005031230211330722,-6.427893130466689e-09,-0.00015602728336649887,-9.50572953684059e-13,-0.0001560272804567915,-2.2283286327251517e-12,-1.2434649000114365e-10
60928,211908,0.0016388147437336187,-6.223566439977901e-09,-0.0005056161340664514,-8.253023034896668e-10,-0.00015640518062606692,-9.593437155785978e-13,-0.00015640517769137356,-2.2472024241437794e-12,-1.2455469761609934e-10
61440,212420,0.001652602580361151,1.4463070741044248e-08,-0.0005091779787227873,3.125843837138298e-09,-0.00015678307788563497,-9.667822098435863e-13,-0.00015678307492542108,-2.2644108810254693e-12,-1.2476509729337388e-10
