template_hash,sample_from_gps_start,call,point_in_call,local_sample,max_bin_width,observed_cpu,direct_cpu_inputs,cpu_double,original_cpu,branch_cpu,jax_cpu_batched,jax_cuda_batched
-2237179565580568333,3083109,19,0,742245,370107,23.194387435913086,23.211496353149414,23.21111688672603,23.194387435913086,23.194387435913086,23.211496353149414,23.211503982543945
-2151034742373626119,1365249,30,0,584961,373334,23.20868682861328,23.205495834350586,23.205464611441926,23.20868682861328,23.20868682861328,23.205495834350586,23.205476760864258
-2151034742373626119,1992850,31,0,432274,373334,27.313364028930664,27.347286224365234,27.347313679624357,27.313364028930664,27.313364028930664,27.3472843170166,27.3472957611084
-2103963572210885324,1887108,3,0,326532,372689,13.889190673828125,13.884015083312988,13.883926611602869,13.889190673828125,13.889190673828125,13.88400936126709,13.884011268615723
-2102967040782749518,541320,25,0,541320,371289,35.46683883666992,35.47113037109375,35.4714575881155,35.46683883666992,35.46683883666992,35.47113037109375,35.47114181518555
-2102967040782749518,3664527,26,0,551567,371289,25.448200225830078,25.459192276000977,25.458955352253213,25.448200225830078,25.448200225830078,25.459192276000977,25.459224700927734
-1857149419622830028,3096201,20,0,755337,372954,23.48356819152832,23.482627868652344,23.482830263190984,23.48356819152832,23.48356819152832,23.482622146606445,23.482656478881836
-1524551278158856831,1845655,62,0,285079,376833,40.741641998291016,40.70888900756836,40.708979284200005,40.741641998291016,40.741641998291016,40.70888900756836,40.7088737487793
-1524551278158856831,2070000,62,1,509424,376833,37.35031509399414,37.355655670166016,37.35584328130705,37.35031509399414,37.35031509399414,37.35566329956055,37.35567092895508
-1524551278158856831,3323876,63,0,983012,376833,36.33028793334961,36.33729553222656,36.337664548377894,36.33028793334961,36.33028793334961,36.33729934692383,36.33734130859375
37811881017014065,457288,9,0,457288,374099,22.10334014892578,22.1379451751709,22.137959478871416,22.10334014892578,22.10334014892578,22.137943267822266,22.137975692749023
37811881017014065,1047524,10,0,267236,374099,20.192705154418945,20.196264266967773,20.196054745941495,20.192705154418945,20.192705154418945,20.19626235961914,20.196292877197266
37811881017014065,1234977,10,1,454689,374099,30.536598205566406,30.514678955078125,30.51484325753493,30.536598205566406,30.536598205566406,30.51467514038086,30.514686584472656
37811881017014065,2202856,11,0,642280,374099,20.543331146240234,20.55238914489746,20.552586279827267,20.543331146240234,20.543331146240234,20.552387237548828,20.552396774291992
615958169596108657,617451,66,0,617451,371112,45.80295944213867,45.77964782714844,45.77984881482569,45.80295944213867,45.80295944213867,45.779640197753906,45.77967834472656
615958169596108657,711143,66,1,711143,371112,39.500030517578125,39.51030349731445,39.51043035089935,39.500030517578125,39.500030517578125,39.51030349731445,39.51035690307617
615958169596108657,3356071,67,0,243111,371112,31.05640411376953,31.081941604614258,31.081937079994564,31.05640411376953,31.05640411376953,31.081945419311523,31.081979751586914
760965857927828048,626961,15,0,626961,372009,36.4630012512207,36.44373321533203,36.44401705244324,36.4630012512207,36.4630012512207,36.443729400634766,36.44373321533203
