index,psd,reference,boundary,stable,reference_edge,possible_min,possible_max,uncertainty_aware_comparison,old_edge,old_point_estimate_shift,current_edge,current_point_estimate_shift,ideal_public_rounding_edge,ideal_public_rounding_point_estimate_shift
6,original,input_power,6,True,76774,76774,76774,current_closer,76542,-232,76774,0,76774,0
6,original,input_power,7,True,95097,95097,95097,current_closer,94727,-370,95097,0,95097,0
6,original,input_power,8,True,127533,127533,127533,current_closer,126587,-946,127533,0,127533,0
6,original,input_power,9,True,943259,943259,943259,current_closer,955061,11802,943260,1,943260,1
6,original,input_power,10,True,1010788,1010788,1010788,current_closer,1011010,222,1010788,0,1010788,0
6,original,input_power,11,True,1022308,1022308,1022308,current_closer,1022419,111,1022308,0,1022308,0
6,original,input_power,12,True,1029690,1029690,1029690,current_closer,1029756,66,1029690,0,1029690,0
6,original,input_power,13,True,1035372,1035372,1035372,current_closer,1035408,36,1035372,0,1035372,0
6,original,input_power,14,True,1040087,1040087,1040087,current_closer,1040107,20,1040087,0,1040087,0
6,original,input_power,15,True,1044477,1044477,1044477,current_closer,1044486,9,1044477,0,1044477,0
7,original,input_power,1,True,28923,28923,28923,current_closer,28909,-14,28923,0,28923,0
7,original,input_power,2,True,38645,38645,38645,current_closer,38597,-48,38645,0,38645,0
7,original,input_power,3,True,46912,46912,46912,current_closer,46855,-57,46912,0,46912,0
7,original,input_power,4,True,55817,55817,55817,current_closer,55726,-91,55817,0,55817,0
7,original,input_power,5,True,67038,67038,67038,current_closer,66913,-125,67038,0,67038,0
7,original,input_power,6,True,81928,81928,81928,current_closer,81693,-235,81928,0,81928,0
7,original,input_power,7,True,105061,105061,105061,current_closer,104626,-435,105061,0,105061,0
7,original,input_power,8,True,162251,162251,162251,current_closer,160379,-1872,162251,0,162251,0
7,original,input_power,9,True,999413,999413,999413,current_closer,999822,409,999413,0,999413,0
7,original,input_power,10,True,1016712,1016712,1016712,current_closer,1016843,131,1016712,0,1016712,0
7,original,input_power,11,True,1025386,1025386,1025386,current_closer,1025461,75,1025386,0,1025386,0
7,original,input_power,12,True,1031603,1031603,1031603,current_closer,1031651,48,1031603,0,1031603,0
7,original,input_power,13,True,1036541,1036541,1036541,current_closer,1036573,32,1036541,0,1036541,0
7,original,input_power,14,True,1040781,1040781,1040781,current_closer,1040797,16,1040781,0,1040781,0
7,original,input_power,15,True,1044809,1044809,1044809,current_closer,1044818,9,1044809,0,1044809,0
8,original,input_power,1,True,28998,28998,28998,current_closer,28982,-16,28998,0,28998,0
8,original,input_power,2,True,38873,38873,38873,current_closer,38825,-48,38873,0,38873,0
8,original,input_power,3,True,47198,47198,47198,current_closer,47142,-56,47198,0,47198,0
8,original,input_power,4,True,56193,56193,56193,current_closer,56117,-76,56193,0,56193,0
8,original,input_power,5,True,67661,67661,67661,current_closer,67521,-140,67661,0,67661,0
8,original,input_power,6,True,82996,82996,82996,current_closer,82768,-228,82996,0,82996,0
8,original,input_power,7,True,107107,107107,107107,current_closer,106633,-474,107107,0,107107,0
8,original,input_power,8,True,171846,171846,171846,current_closer,169229,-2617,171846,0,171846,0
8,original,input_power,9,True,1001161,1001161,1001161,current_closer,1001606,445,1001161,0,1001161,0
8,original,input_power,10,True,1017278,1017278,1017278,current_closer,1017402,124,1017278,0,1017278,0
8,original,input_power,11,True,1025670,1025670,1025670,current_closer,1025744,74,1025670,0,1025670,0
8,original,input_power,12,True,1031778,1031778,1031778,current_closer,1031823,45,1031778,0,1031778,0
8,original,input_power,13,True,1036653,1036653,1036653,current_closer,1036681,28,1036653,0,1036653,0
8,original,input_power,14,True,1040842,1040842,1040842,current_closer,1040858,16,1040842,0,1040842,0
8,original,input_power,15,True,1044840,1044840,1044840,current_closer,1044848,8,1044840,0,1044840,0
9,original,input_power,1,True,29081,29081,29081,current_closer,29065,-16,29081,0,29081,0
9,original,input_power,2,True,39060,39060,39060,current_closer,39028,-32,39060,0,39060,0
9,original,input_power,3,True,47459,47459,47459,current_closer,47402,-57,47459,0,47459,0
9,original,input_power,4,True,56558,56558,56558,current_closer,56475,-83,56558,0,56558,0
9,original,input_power,5,True,68272,68272,68272,current_closer,68144,-128,68272,0,68272,0
9,original,input_power,6,True,84074,84074,84074,current_closer,83828,-246,84074,0,84074,0
9,original,input_power,7,True,109240,109240,109240,current_closer,108719,-521,109240,0,109240,0
9,original,input_power,8,True,183035,183035,183035,current_closer,179951,-3084,183035,0,183035,0
9,original,input_power,9,True,1002832,1002832,1002832,current_closer,1003204,372,1002832,0,1002832,0
9,original,input_power,10,True,1017832,1017832,1017832,current_closer,1017955,123,1017832,0,1017832,0
9,original,input_power,11,True,1025968,1025968,1025968,current_closer,1026040,72,1025968,0,1025968,0
9,original,input_power,12,True,1031948,1031948,1031948,current_closer,1031989,41,1031948,0,1031948,0
9,original,input_power,13,True,1036774,1036774,1036774,current_closer,1036803,29,1036774,0,1036774,0
9,original,input_power,14,True,1040910,1040910,1040910,current_closer,1040926,16,1040910,0,1040910,0
9,original,input_power,15,True,1044875,1044875,1044875,current_closer,1044883,8,1044875,0,1044875,0
10,original,input_power,1,True,28419,28419,28419,current_closer,28410,-9,28419,0,28419,0
10,original,input_power,2,True,37382,37382,37382,current_closer,37363,-19,37382,0,37382,0
10,original,input_power,3,True,45286,45286,45286,current_closer,45260,-26,45286,0,45286,0
10,original,input_power,4,True,53339,53339,53339,current_closer,53301,-38,53339,0,53339,0
10,original,input_power,5,True,63086,63086,63086,current_closer,63025,-61,63086,0,63086,0
10,original,input_power,6,True,75195,75195,75195,current_closer,75096,-99,75195,0,75195,0
10,original,input_power,7,True,92319,92319,92319,current_closer,92140,-179,92319,0,92319,0
10,original,input_power,8,True,120546,120546,120546,current_closer,120148,-398,120546,0,120546,0
10,original,input_power,9,True,234789,234789,234789,current_closer,229933,-4856,234789,0,234789,0
10,original,input_power,10,True,1007274,1007274,1007274,current_closer,1007425,151,1007274,0,1007274,0
10,original,input_power,11,True,1020918,1020918,1020918,current_closer,1020973,55,1020918,0,1020918,0
10,original,input_power,12,True,1028864,1028864,1028864,current_closer,1028898,34,1028864,0,1028864,0
10,original,input_power,13,True,1034857,1034857,1034857,current_closer,1034876,19,1034857,0,1034857,0
10,original,input_power,14,True,1039809,1039809,1039809,current_closer,1039820,11,1039809,0,1039809,0
10,original,input_power,15,True,1044332,1044332,1044332,current_closer,1044337,5,1044332,0,1044332,0
11,original,input_power,1,True,28427,28427,28427,current_closer,28418,-9,28427,0,28427,0
11,original,input_power,2,True,37399,37399,37399,current_closer,37381,-18,37399,0,37399,0
11,original,input_power,3,True,45310,45310,45310,current_closer,45285,-25,45310,0,45310,0
11,original,input_power,4,True,53371,53371,53371,current_closer,53338,-33,53371,0,53371,0
11,original,input_power,5,True,63143,63143,63143,current_closer,63086,-57,63143,0,63143,0
11,original,input_power,6,True,75289,75289,75289,current_closer,75195,-94,75289,0,75289,0
11,original,input_power,7,True,92496,92496,92496,current_closer,92325,-171,92496,0,92496,0
11,original,input_power,8,True,120916,120916,120916,current_closer,120561,-355,120916,0,120916,0
11,original,input_power,9,True,239875,239875,239875,current_closer,235168,-4707,239875,0,239875,0
11,original,input_power,10,True,1007489,1007489,1007489,current_closer,1007624,135,1007489,0,1007489,0
11,original,input_power,11,True,1021000,1021000,1021000,current_closer,1021051,51,1021000,0,1021000,0
11,original,input_power,12,True,1028915,1028915,1028915,current_closer,1028945,30,1028915,0,1028915,0
11,original,input_power,13,True,1034887,1034887,1034887,current_closer,1034906,19,1034887,0,1034887,0
11,original,input_power,14,True,1039825,1039825,1039825,current_closer,1039835,10,1039825,0,1039825,0
11,original,input_power,15,True,1044340,1044340,1044340,current_closer,1044345,5,1044340,0,1044340,0
12,original,input_power,1,True,28438,28438,28438,current_closer,28430,-8,28438,0,28438,0
12,original,input_power,2,True,37426,37426,37426,current_closer,37406,-20,37426,0,37426,0
12,original,input_power,3,True,45345,45345,45345,current_closer,45319,-26,45345,0,45345,0
12,original,input_power,4,True,53417,53417,53417,current_closer,53383,-34,53417,0,53417,0
12,original,input_power,5,True,63229,63229,63229,current_closer,63166,-63,63229,0,63229,0
12,original,input_power,6,True,75429,75429,75429,current_closer,75328,-101,75429,0,75429,0
12,original,input_power,7,True,92726,92726,92726,current_closer,92565,-161,92726,0,92726,0
12,original,input_power,8,True,121423,121423,121423,current_closer,121067,-356,121423,0,121423,0
12,original,input_power,9,True,246501,246501,246501,current_closer,241884,-4617,246501,0,246501,0
12,original,input_power,10,True,1007745,1007745,1007745,current_closer,1007876,131,1007745,0,1007745,0
12,original,input_power,11,True,1021098,1021098,1021098,current_closer,1021149,51,1021098,0,1021098,0
12,original,input_power,12,True,1028968,1028968,1028968,current_closer,1028994,26,1028968,0,1028968,0
12,original,input_power,13,True,1034920,1034920,1034920,current_closer,1034937,17,1034920,0,1034920,0
12,original,input_power,14,True,1039841,1039841,1039841,current_closer,1039850,9,1039841,0,1039841,0
12,original,input_power,15,True,1044348,1044348,1044348,current_closer,1044353,5,1044348,0,1044348,0
13,original,input_power,1,True,28447,28447,28447,current_closer,28439,-8,28447,0,28447,0
13,original,input_power,2,True,37445,37445,37445,current_closer,37426,-19,37445,0,37445,0
13,original,input_power,3,True,45371,45371,45371,current_closer,45346,-25,45371,0,45371,0
13,original,input_power,4,True,53458,53458,53458,current_closer,53420,-38,53458,0,53458,0
13,original,input_power,5,True,63298,63298,63298,current_closer,63233,-65,63298,0,63298,0
13,original,input_power,6,True,75534,75534,75534,current_closer,75437,-97,75534,0,75534,0
13,original,input_power,7,True,92906,92906,92906,current_closer,92738,-168,92906,0,92906,0
13,original,input_power,8,True,121812,121812,121812,current_closer,121450,-362,121812,0,121812,0
13,original,input_power,9,True,251554,251554,251554,current_closer,246903,-4651,251554,0,251554,0
13,original,input_power,10,True,1007937,1007937,1007937,current_closer,1008050,113,1007937,0,1007937,0
13,original,input_power,11,True,1021180,1021180,1021180,current_closer,1021230,50,1021180,0,1021180,0
13,original,input_power,12,True,1029014,1029014,1029014,current_closer,1029041,27,1029014,0,1029014,0
13,original,input_power,13,True,1034952,1034952,1034952,current_closer,1034969,17,1034952,0,1034952,0
13,original,input_power,14,True,1039859,1039859,1039859,current_closer,1039868,9,1039859,0,1039859,0
13,original,input_power,15,True,1044358,1044358,1044358,current_closer,1044362,4,1044358,0,1044358,0
14,original,input_power,1,True,28458,28458,28458,current_closer,28451,-7,28458,0,28458,0
14,original,input_power,2,True,37471,37471,37471,current_closer,37454,-17,37471,0,37471,0
14,original,input_power,3,True,45408,45408,45408,current_closer,45383,-25,45408,0,45408,0
14,original,input_power,4,True,53510,53510,53510,current_closer,53476,-34,53510,0,53510,0
14,original,input_power,5,True,63390,63390,63390,current_closer,63332,-58,63390,0,63390,0
14,original,input_power,6,True,75658,75658,75658,current_closer,75577,-81,75658,0,75658,0
14,original,input_power,7,True,93134,93134,93134,current_closer,92984,-150,93134,0,93134,0
14,original,input_power,8,True,122340,122340,122340,current_closer,121987,-353,122340,0,122340,0
14,original,input_power,9,True,259212,259212,259212,current_closer,253651,-5561,259212,0,259212,0
14,original,input_power,10,True,1008170,1008170,1008170,current_closer,1008311,141,1008170,0,1008170,0
14,original,input_power,11,True,1021276,1021276,1021276,current_closer,1021324,48,1021276,0,1021276,0
14,original,input_power,12,True,1029067,1029067,1029067,current_closer,1029095,28,1029067,0,1029067,0
14,original,input_power,13,True,1034985,1034985,1034985,current_closer,1035001,16,1034985,0,1034985,0
14,original,input_power,14,True,1039876,1039876,1039876,current_closer,1039885,9,1039876,0,1039876,0
14,original,input_power,15,True,1044366,1044366,1044366,current_closer,1044371,5,1044366,0,1044366,0
15,original,input_power,1,True,28474,28474,28474,current_closer,28467,-7,28474,0,28474,0
15,original,input_power,2,True,37504,37504,37504,current_closer,37489,-15,37504,0,37504,0
15,original,input_power,3,True,45454,45454,45454,current_closer,45433,-21,45454,0,45454,0
15,original,input_power,4,True,53583,53583,53583,current_closer,53549,-34,53583,0,53583,0
15,original,input_power,5,True,63502,63502,63502,current_closer,63450,-52,63502,0,63502,0
15,original,input_power,6,True,75841,75841,75841,current_closer,75751,-90,75841,0,75841,0
15,original,input_power,7,True,93449,93449,93449,current_closer,93305,-144,93449,0,93449,0
15,original,input_power,8,True,123103,123103,123103,current_closer,122743,-360,123103,0,123103,0
15,original,input_power,9,True,270767,270767,270767,current_closer,264934,-5833,270767,0,270767,0
15,original,input_power,10,True,1008513,1008513,1008513,current_closer,1008632,119,1008513,0,1008513,0
15,original,input_power,11,True,1021388,1021388,1021388,current_closer,1021432,44,1021388,0,1021388,0
