shape,n,npoints,dtype,variant,median_ms,q25_ms,q75_ms
captured,1048576,2,complex128,base,2.970212488435209,2.96747253742069,2.9719159938395023
captured,1048576,2,complex128,malloc,3.0619155149906874,3.061243914999068,3.064154996536672
captured,1048576,2,complex128,malloc1,3.208321053534746,3.2051604939624667,3.212233423255384
captured,1048576,2,complex128,cache,3.213460906408727,3.2102649565786123,3.213812015019357
captured,1048576,2,complex128,numpy,3.22013848926872,3.2193975057452917,3.2210753997787833
captured,1048576,5,complex128,base,4.967321525327861,4.96646948158741,4.970046458765864
captured,1048576,5,complex128,malloc,4.873689962550998,4.872382502071559,4.874901962466538
captured,1048576,5,complex128,malloc1,6.860118475742638,6.857268512248993,6.862107547931373
captured,1048576,5,complex128,cache,6.862187525257468,6.861205562017858,6.8634344497695565
captured,1048576,5,complex128,numpy,6.866069510579109,6.861310917884111,6.8687599850818515
wide,4194304,1,complex64,base,12.439037556760013,12.432179995812476,12.448370456695557
wide,4194304,1,complex64,malloc,12.350090080872178,12.336224084720016,12.351527577266097
wide,4194304,1,complex64,malloc1,12.866808916442096,12.865226017311215,12.873751926235855
wide,4194304,1,complex64,cache,12.86677352618426,12.86425453145057,12.872399063780904
wide,4194304,1,complex64,numpy,12.867605546489358,12.86582206375897,12.880810420028865
wide,4194304,2,complex64,base,9.4904659781605,9.485065471380949,9.49591095559299
wide,4194304,2,complex64,malloc,13.366034487262368,13.365298509597778,13.376504415646195
wide,4194304,2,complex64,malloc1,13.445844990201294,13.442829949781299,13.450058060698211
wide,4194304,2,complex64,cache,13.438166002742946,13.433898100629449,13.440459966659546
wide,4194304,2,complex64,numpy,13.435731059871614,13.432885520160198,13.436307548545301
wide,4194304,5,complex64,base,13.94379895646125,13.940352480858564,13.947756495326757
wide,4194304,5,complex64,malloc,22.375815082341433,22.368461010046303,22.379271453246474
wide,4194304,5,complex64,malloc1,28.75770698301494,28.743696049787104,28.760383022017777
wide,4194304,5,complex64,cache,28.497712453827262,28.493219520896673,28.505642083473504
wide,4194304,5,complex64,numpy,28.49161601625383,28.48453796468675,28.49937556311488
wide,4194304,1,complex128,base,15.497497050091624,15.484382514841855,15.502816997468472
wide,4194304,1,complex128,malloc,9.179114480502903,9.168609511107206,9.198977029882371
wide,4194304,1,complex128,malloc1,13.136467547155917,13.134378474205732,13.141862582415342
wide,4194304,1,complex128,cache,13.164104544557631,13.161189504899085,13.169629964977503
wide,4194304,1,complex128,numpy,13.192523503676057,13.185905991122127,13.196866493672132
wide,4194304,2,complex128,base,12.251449981704354,12.237968971021473,12.26684357970953
wide,4194304,2,complex128,malloc,12.639224994927645,12.620605528354645,12.645327020436525
wide,4194304,2,complex128,malloc1,13.238569954410195,13.224779046140611,13.267108472064137
wide,4194304,2,complex128,cache,13.244160450994968,13.232884462922812,13.278189930133522
wide,4194304,2,complex128,numpy,13.28456704504788,13.27526441309601,13.312614522874355
wide,4194304,5,complex128,base,20.46383696142584,20.461122039705515,20.50110255368054
wide,4194304,5,complex128,malloc,20.08064999245107,20.07817046251148,20.111714024096727
wide,4194304,5,complex128,malloc1,28.289020410738885,28.270540526136756,28.294410556554794
wide,4194304,5,complex128,cache,28.301248443312943,28.283354942686856,28.31226901616901
wide,4194304,5,complex128,numpy,28.287812951020896,28.26404303777963,28.348693042062223
