# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:u' (time slices: 548515.257522922,548616.782023100)
# Event count (approx.): 265145572344
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  .....................................................  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  python   python3.11                                             [.] PyType_IsSubtype
     0.01%  python   libtorch_python.so                                     [.] torch::PyWarningHandler::PyWarningHandler()
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5FL_reg_malloc
     0.01%  python   python3.11                                             [.] _copy_characters
     0.01%  python   python3.11                                             [.] PyLong_FromLong
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5E__set_auto
     0.01%  python   libtorch_python.so                                     [.] torch::PyWarningHandler::~PyWarningHandler()
     0.01%  python   libstdc++.so.6.0.32                                    [.] operator delete(void*)
     0.01%  python   python3.11                                             [.] PyUnicode_Substring
     0.01%  python   python3.11                                             [.] _PyObject_GenericSetAttrWithDict
     0.01%  python   libc.so.6                                              [.] __printf_buffer_write
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5FL_fac_malloc
     0.01%  python   libtorch_cpu.so                                        [.] at::_ops::empty_strided::call(c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)
     0.01%  python   libz.so.1.3.1                                          [.] inflate_table
     0.01%  python   libc.so.6                                              [.] _int_free
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyUFunc_ReduceWrapper
     0.01%  python   python3.11                                             [.] _PyType_AllocNoTrack
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5Eset_auto2
     0.01%  python   libtorch_python.so                                     [.] torch::PythonArgParser::raw_parse(_object*, _object*, _object*, _object**)
     0.01%  python   libc10.so                                              [.] c10::ProfiledCPUMemoryReporter::New(void*, unsigned long)
     0.01%  python   ld-linux-x86-64.so.2                                   [.] __tls_get_addr
     0.01%  python   python3.11                                             [.] super_getattro
     0.01%  python   libz.so.1.3.1                                          [.] inflate_fast
     0.01%  python   python3.11                                             [.] _PyObject_GC_New
     0.01%  python   libtorch_cpu.so                                        [.] at::detail::empty_strided_cpu(c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)
     0.01%  python   libtorch_cpu.so                                        [.] at::impl::PythonTorchFunctionTLS::exchange_skip_next(bool)
