# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 165629586928
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.03%  python   python3.11                                             [.] method_vectorcall
     0.03%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] signed_integers_is_known_scalar_types
     0.03%  python   [unknown]                                              [k] 0xffffffff8545ca57
     0.03%  python   python3.11                                             [.] method_dealloc
     0.03%  python   python3.11                                             [.] siphash13
     0.03%  python   python3.11                                             [.] r_object
     0.03%  python   [unknown]                                              [k] 0xffffffff851dcd55
     0.03%  python   python3.11                                             [.] unicode_expandtabs
     0.03%  python   python3.11                                             [.] insertdict
     0.03%  python   python3.11                                             [.] PyObject_GC_Del
     0.03%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] nc_sqrtf
     0.03%  python   python3.11                                             [.] PyUnicode_Substring
     0.03%  python   python3.11                                             [.] unicode_hash
     0.03%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CFLOAT_absolute_FMA3__AVX2
     0.03%  python   [unknown]                                              [k] 0xffffffff8545d53b
     0.02%  python   python3.11                                             [.] _PyObject_GetMethod
     0.02%  python   libmkl_def.so                                          [.] compute_task_bwd
     0.02%  python   python3.11                                             [.] dictresize
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] discover_descriptor_from_pyint
     0.02%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DescrFromType
     0.02%  python   python3.11                                             [.] PyDict_GetItemWithError
     0.02%  python   python3.11                                             [.] PyUnicode_Format
     0.02%  python   libhdf5.so.1000.0.0                                    [.] H5SL_search
     0.02%  python   python3.11                                             [.] long_to_decimal_string_internal
     0.02%  python   python3.11                                             [.] type_traverse
     0.02%  python   python3.11                                             [.] _PyUnicode_JoinArray
