# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 176804251613
#
# Overhead  Command     Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ..........  .....................................................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.03%  python      python3.11                                             [.] _PyUnicode_FromUCS1
     0.03%  python      python3.11                                             [.] _PyObject_GC_New
     0.03%  python      python3.11                                             [.] dict_dealloc
     0.03%  python      python3.11                                             [.] PyList_New
     0.03%  python      [unknown]                                              [k] 0xffffffff862549ee
     0.03%  python      libmkl_def.so                                          [.] mkl_serv_libm_sin@plt
     0.03%  python      python3.11                                             [.] _PyPegen_fill_token
     0.03%  python      libtorch_cpu.so                                        [.] torch::jit::SharedParserData::match(torch::jit::StringCordView::Iterator, bool, bool, int*, torch::jit::StringCordView::Iterator*, torch::jit::StringCordView::Iterator*)
     0.03%  python      [unknown]                                              [k] 0xffffffff854325d2
     0.03%  python      python3.11                                             [.] PyTuple_New
     0.03%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] DOUBLE_multiply_FMA3__AVX2
     0.02%  python      libmkl_def.so                                          [.] compute_task_bwd
     0.02%  python      python3.11                                             [.] bitwise_or_rule
     0.02%  python      libc.so.6                                              [.] __memmove_sse2_unaligned_erms
     0.02%  python      python3.11                                             [.] unicode_expandtabs
     0.02%  python      [unknown]                                              [k] 0xffffffff8545ca57
     0.02%  python      python3.11                                             [.] _PyObject_GC_NewVar
     0.02%  python      libc.so.6                                              [.] _int_malloc
     0.02%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftFwd_Fact8_32fc
     0.02%  python      python3.11                                             [.] PyType_IsSubtype
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] raw_array_assign_array
     0.02%  python      libhdf5.so.1000.0.0                                    [.] H5_hash_string
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _typenum_fromtypeobj
     0.02%  python      libhdf5.so.1000.0.0                                    [.] H5Eset_auto2
     0.02%  python      python3.11                                             [.] meth_dealloc
     0.02%  python      python3.11                                             [.] PyObject_GC_Del
     0.02%  python      [unknown]                                              [k] 0xffffffff86400f30
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CDOUBLE_absolute_FMA3__AVX2
     0.02%  python      python3.11                                             [.] _PyObject_GenericSetAttrWithDict
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] LONG_copyswap
     0.02%  python      python3.11                                             [.] type_traverse
     0.02%  python      python3.11                                             [.] PyUnicode_FromFormatV
     0.02%  python      python3.11                                             [.] _PyFrame_MakeAndSetFrameObject
     0.02%  python      libc.so.6                                              [.] memcpy@GLIBC_2.2.5
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DescrFromType
     0.02%  python      libtorch_cpu.so                                        [.] c10::DispatchKeySet::getDispatchTableIndexForDispatchKeySet() const
     0.02%  python      python3.11                                             [.] _PyEvalFramePushAndInit
     0.02%  python      [unknown]                                              [k] 0xffffffff86401647
     0.02%  python      python3.11                                             [.] _PyUnicode_JoinArray
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] ufunc_generic_fastcall
     0.02%  python      python3.11                                             [.] dict_subscript
     0.02%  python      libmkl_def.so                                          [.] mkl_dft_def_ownsCopy_8u
     0.02%  python      [unknown]                                              [k] 0xffffffff851a6e09
     0.02%  python      python3.11                                             [.] _PyFrame_Clear
     0.02%  python      python3.11                                             [.] insert_to_emptydict
     0.02%  python      python3.11                                             [.] PyFunction_NewWithQualName
     0.02%  python      libc.so.6                                              [.] _int_free_merge_chunk
     0.02%  python      python3.11                                             [.] property_descr_get
     0.02%  python      python3.11                                             [.] tok_nextc
     0.02%  python      [unknown]                                              [k] 0xffffffff854327d2
     0.02%  python      python3.11                                             [.] term_raw
     0.02%  python      python3.11                                             [.] PyLong_AsLongLong
     0.02%  python      libc10.so                                              [.] c10::DispatchKeySet::iterator::operator++()
     0.02%  python      python3.11                                             [.] sum_rule
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] CFLOAT_absolute_FMA3__AVX2
     0.02%  python      python3.11                                             [.] sre_search
     0.02%  python      python3.11                                             [.] slot_tp_getattr_hook
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_contig_cast_float_to_cfloat
     0.02%  python      [unknown]                                              [k] 0xffffffff854325d6
     0.02%  python      [unknown]                                              [k] 0xffffffff854325a0
     0.02%  python      ld-linux-x86-64.so.2                                   [.] strcmp
     0.02%  python      libz.so.1.3.1                                          [.] inflate_table
     0.02%  python      [unknown]                                              [k] 0xffffffff851e29b0
     0.02%  python      libc.so.6                                              [.] __strcmp_avx2
     0.02%  python      python3.11                                             [.] PyObject_Free
     0.02%  python      python3.11                                             [.] take_gil
     0.02%  python      libtorch_cpu.so                                        [.] c10::impl::OperatorEntry::computeDispatchTableEntryWithDebug(c10::Dispatcher const&, c10::DispatchKey) const
     0.02%  python      libc.so.6                                              [.] __strftime_internal
     0.02%  python      libc.so.6                                              [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.02%  python      libhdf5.so.1000.0.0                                    [.] H5FL_reg_malloc
     0.02%  python      python3.11                                             [.] _PyLong_New
     0.02%  python      python3.11                                             [.] thread_get_ident
     0.01%  python      libmkl_core.so                                         [.] mkl_serv_deallocate
     0.01%  python      libhdf5.so.1000.0.0                                    [.] H5O__dtype_decode_helper
     0.01%  python      python3.11                                             [.] _PyObject_Malloc
     0.01%  python      python3.11                                             [.] cfunction_vectorcall_NOARGS
     0.01%  python      python3.11                                             [.] PyMethod_New
     0.01%  python      python3.11                                             [.] PyUnicode_Format
     0.01%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftFwd_Fact8_64fc
     0.01%  python      _ctypes.cpython-311-x86_64-linux-gnu.so                [.] _ctypes_callproc
     0.01%  python      libhdf5.so.1000.0.0                                    [.] H5CX_get_vol_wrap_ctx
     0.01%  python      python3.11                                             [.] _Py_Dealloc
     0.01%  python      python3.11                                             [.] cfunction_call
     0.01%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_initTabBitRevNorm
     0.01%  python      python3.11                                             [.] dict_get
     0.01%  python      python3.11                                             [.] long_hash
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] npy_alloc_cache_dim
     0.01%  python      libm.so.6                                              [.] fetestexcept
     0.01%  python      libhdf5.so.1000.0.0                                    [.] H5C__flush_single_entry
     0.01%  python      python3.11                                             [.] tuple_iter
