# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles:u' (time slices: 548190.994246801,548242.361700376)
# Event count (approx.): 131916619162
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.01%  python   [unknown]                                              [k] 0xffffffff85460a19
     0.01%  python   h5o.cpython-311-x86_64-linux-gnu.so                    [.] PyType_IsSubtype@plt
     0.01%  python   python3.11                                             [.] PyUnicode_Append
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5G_loc_real
     0.01%  python   libc.so.6                                              [.] __printf_buffer
     0.01%  python   _objects.cpython-311-x86_64-linux-gnu.so               [.] __pyx_pw_4h5py_8_objects_9FastRLock_9__enter__
     0.01%  python   _objects.cpython-311-x86_64-linux-gnu.so               [.] __pyx_tp_new_4h5py_8_objects_ObjectID
     0.01%  python   python3.11                                             [.] PyVectorcall_Call
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5I__find_id
     0.01%  python   python3.11                                             [.] _PyFrame_MakeAndSetFrameObject
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5P__do_prop
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5C__tag_entry
     0.01%  python   python3.11                                             [.] long_div
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] npyiter_copy_to_buffers
     0.01%  python   libgcc_s.so.1                                          [.] uw_frame_state_for
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] __pyx_f_4h5py_3h5t_11TypeFloatID_py_dtype
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5T_set_loc
     0.01%  python   [unknown]                                              [k] 0xffffffff85213922
     0.01%  python   python3.11                                             [.] bitwise_xor_rule
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5Sget_simple_extent_ndims
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] NpyIter_ResetBasePointers
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _npy_parse_arguments
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] __pyx_f_4h5py_3h5t_typewrap
     0.01%  python   python3.11                                             [.] property_descr_get
     0.01%  python   matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __pyx_pw_5pycbc_6filter_17matchedfilter_cpu_7_correlate(_object*, _object*, _object*)
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5VL_reset_vol_wrapper
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5Z_xform_noop
     0.01%  python   python3.11                                             [.] unicode_fromformat_write_cstr
     0.01%  python   python3.11                                             [.] parse_internal_render_format_spec
     0.01%  python   python3.11                                             [.] list_dealloc
